,Processed,filename
0,"[-3.0003992e+02  9.4496124e+01 -3.7124863e+01  6.0518738e+01
 -2.8588326e+01  2.6326895e+00 -2.0516972e+01  7.5511136e+00
 -8.2996378e+00 -1.6843066e-01 -1.3331118e+01  4.7886443e+00
 -1.2882214e+01 -2.3903048e+00 -8.0954200e-01 -1.7636124e+01
  2.5884168e+00 -1.0046483e+01 -1.3348856e+00  3.8618925e-01
  4.7997704e+00 -1.3998059e+00  5.4132628e+00  3.5580533e+00
  4.2177091e+00  3.7142282e+00 -9.0902132e-01  8.7671834e-01
 -2.4820504e+00 -9.2034024e-01 -2.4161777e+00 -3.4722483e+00
  4.1602010e-01 -1.6072088e+00 -1.1430876e+00 -4.9246198e-01
 -1.8753664e+00  2.7941576e-01 -5.4452366e-01  1.9339761e-01
 -8.1903404e-01  8.9705956e-01 -3.3355504e-01  2.5067127e-01
 -7.8003365e-01  2.4541765e-01 -1.1011257e+00 -2.9580355e-01
  2.1084508e-01  3.2741895e-01 -2.7469820e-01 -2.1621199e+00
 -5.6258225e-01 -2.0641880e+00 -2.1367311e+00 -2.9154756e+00
 -7.5274795e-01 -2.9943068e+00 -2.1014750e+00 -2.4457166e+00
 -2.1244948e+00 -1.2979033e+00 -1.3424383e+00 -1.5490537e+00
 -2.3770230e+00 -1.1120132e+00 -1.6068691e+00 -8.9237201e-01
 -1.4849352e+00 -1.5725949e-01 -4.8727697e-01 -3.9113921e-01
 -7.6128894e-01 -6.4479423e-01 -4.7667304e-01 -1.5129834e-01
 -3.1027195e-01 -3.9777407e-01  4.7170645e-01 -4.1902503e-01
 -1.7486857e-01 -6.1692011e-01  6.1340100e-01  2.5896206e-01
  6.0751694e-01  1.5683304e-01 -5.9129727e-01 -3.7592333e-02
 -5.8410168e-01  3.4423953e-01 -3.8949037e-01 -9.6697569e-02
 -2.4892524e-01  2.4089013e-01  7.2228909e-02 -4.5928630e-01
 -1.0275589e-01 -7.2979683e-01 -7.8465003e-01 -7.3659229e-01]",0 (2).wav
1,"[-3.9665775e+02  1.4417188e+02 -5.1184902e+00  2.6080811e+01
 -4.6244049e+00  1.6677378e+01 -2.7725897e+01  1.4004410e+01
 -1.6225750e+01  8.4055796e+00 -1.3135623e+00  1.5711833e+00
 -5.2633448e+00 -3.8146844e+00  4.6200156e+00 -5.8551879e+00
  1.8068705e+00 -7.4775205e+00  2.0837653e+00 -4.5625205e+00
 -2.7844779e+00 -4.3165956e+00 -6.9459162e+00 -8.1387291e+00
 -4.0510812e+00 -2.1351693e+00 -2.8969023e+00 -2.9517150e-01
 -1.5051138e+00 -1.8771195e+00 -1.2146754e+00 -2.1725140e+00
 -6.9275135e-01 -3.2820728e+00 -2.5101318e+00 -2.8344219e+00
 -2.9291499e+00 -9.0955663e-01 -2.7928414e+00 -3.0653081e+00
 -2.5342736e+00 -1.1437647e+00 -4.0610571e+00 -3.7832463e+00
 -5.1389117e+00 -4.3406868e+00 -7.2192159e+00 -5.5190234e+00
 -2.7596679e+00 -1.5418798e+00 -2.9040098e+00 -4.3701153e+00
 -1.4680146e+00 -1.3209423e+00 -1.6642987e+00 -2.7408907e+00
 -1.1800996e+00 -2.5310736e+00 -2.5456619e+00 -2.1865289e+00
 -3.3571273e-01 -1.3122739e+00  6.2279612e-01  2.9087620e+00
  4.1146245e+00  5.2143378e+00  4.9267650e+00  4.4807739e+00
 -4.3943864e-01  9.2314374e-01  9.8733729e-01  7.3396724e-01
  1.6671737e+00  1.5801677e+00  8.4457797e-01  4.6869633e-01
  1.0586048e+00 -8.6280143e-01  1.0277414e+00  7.2661638e-01
 -1.7627913e+00 -1.3211218e+00 -1.0604700e+00 -4.7038791e-01
  2.5288129e-01  1.5836684e-03 -1.0772185e+00 -5.7246786e-02
 -6.8126619e-02 -1.6897708e+00 -7.2637469e-01 -6.4016205e-01
 -1.1666808e+00 -7.3967636e-01 -2.2345018e-01 -2.5082039e-02
 -2.6979238e-01 -1.6361688e+00 -1.2531438e+00  7.0924586e-01]",0.wav
2,"[-3.50039246e+02  1.14752159e+02 -4.90204239e+01  2.96465626e+01
 -4.50457039e+01  1.11241019e+00 -3.76359673e+01 -4.09126663e+00
 -8.35820484e+00 -8.45895290e+00 -6.84969282e+00 -9.17964840e+00
 -1.18481388e+01 -7.27319956e+00 -6.70806837e+00 -1.30005617e+01
 -2.54458046e+00 -1.45319166e+01 -4.13234758e+00 -7.24679661e+00
 -8.97768307e+00 -7.09678411e+00 -6.93530941e+00 -7.16360712e+00
 -5.93941689e+00 -7.88857758e-01 -2.66190410e+00 -8.71436179e-01
  2.18352222e+00  2.09668636e-01  7.81303525e-01  1.62757742e+00
  1.25093365e+00  2.76901054e+00  3.18547630e+00  2.94609332e+00
  9.40454841e-01  2.00289536e+00  2.50345159e+00  8.87684286e-01
  2.15978727e-01 -4.11915451e-01 -1.16338003e+00  3.16130251e-01
 -2.03172851e+00 -1.86223257e+00 -1.73364639e+00 -2.23870301e+00
 -1.82945859e+00 -1.40649521e+00 -1.45307469e+00 -1.08503687e+00
 -9.93064821e-01 -6.09791875e-01 -5.95058203e-01 -2.12223291e+00
  2.11346492e-01 -1.20071483e+00 -3.02263319e-01 -1.39050512e-03
 -4.02669430e-01 -6.67084634e-01 -8.70722175e-01 -2.68495321e-01
 -7.84544289e-01 -5.68175852e-01 -1.95454240e-01  3.22679669e-01
 -3.21666777e-01  3.14910829e-01 -1.82658091e-01  4.13409710e-01
 -3.95920336e-01 -2.17291176e-01  5.58667958e-01 -1.14918120e-01
 -1.44189283e-01 -1.45106584e-01  5.00234425e-01 -2.89648443e-01
 -1.31329358e-01  2.84756422e-01  3.57153893e-01  2.10644290e-01
 -5.58097959e-01  4.53052282e-01 -1.80214509e-01 -1.00485432e+00
  1.23073734e-01 -1.68179721e-01 -9.86357555e-02 -2.55560666e-01
 -6.64275527e-01 -5.95007479e-01 -3.33988816e-01 -1.53929859e-01
 -4.01687652e-01 -4.57100540e-01  5.78031093e-02 -5.13050258e-01]",1 (2).wav
3,"[-2.7758279e+02  9.0065834e+01 -1.3797159e+01  5.3013321e+01
 -3.1849655e+01  2.9987995e+01 -3.2311455e+01  1.5212205e+01
 -1.7927319e+01  4.3927627e+00 -6.5068789e+00 -1.2628343e+00
 -1.7524461e+00 -9.9808302e+00 -5.3458422e-01 -7.1151705e+00
 -6.3359165e+00 -6.5993762e+00 -1.1711558e-01 -9.9278793e+00
 -2.1502638e+00 -4.9321580e+00 -3.4560905e+00 -5.5328941e+00
 -8.1474757e-01 -4.8858380e+00 -4.4993138e+00 -2.3390448e+00
 -3.8576376e+00 -4.3847375e+00 -4.6161017e+00 -5.2549610e+00
 -3.7233295e+00 -4.6639476e+00 -2.4497914e+00 -1.8702275e+00
 -3.2435989e+00 -2.6505148e+00 -3.1152091e+00 -2.8313932e+00
 -3.4731119e+00 -3.5551959e-01 -1.7012132e+00  1.2740380e+00
 -6.7514116e-01  1.0848356e+00  1.3800497e-01  2.7785842e+00
  1.0278064e+00  2.1477635e+00  2.4687078e+00  6.2371540e-01
  2.1206944e+00  5.9031773e-01  1.8484483e+00 -9.2761421e-01
  1.4078299e+00 -2.3870580e-01  1.1430442e+00 -1.4855443e-01
 -1.4580689e-01  7.9014164e-01 -1.0804976e-01 -4.6274883e-01
 -1.0818562e-01 -6.4730811e-01 -1.4770362e+00 -3.6310475e-02
 -1.2115260e+00  1.7499719e-02 -3.7908989e-01 -2.5998110e-01
 -8.0450249e-01 -3.4823015e-01  7.2398476e-02 -4.9421462e-01
 -8.3654928e-01 -5.1309180e-01 -8.1960440e-02 -3.5413188e-01
 -4.5081598e-01 -6.2648904e-01 -3.3013707e-01 -6.3521850e-01
 -1.4313631e-01 -1.7210974e-01  1.2596795e-01 -2.5847545e-01
 -5.3303796e-01 -1.2816876e-01 -3.1039703e-01 -7.0866980e-02
 -2.7160689e-01  3.8656601e-01  4.0999357e-02 -4.9452356e-01
  5.8305703e-02 -4.4895294e-01 -4.7538671e-01 -4.0551090e-01]",1.wav
4,"[-3.34271576e+02  1.12248367e+02 -5.03759537e+01  2.44713593e+01
 -2.60958576e+01 -1.80182481e+00 -2.60160370e+01 -5.74913073e+00
 -8.99919891e+00 -5.83638716e+00  3.46154666e+00 -5.84435523e-01
 -6.98280954e+00 -2.80501413e+00 -8.76970577e+00 -1.65689964e+01
 -4.30111122e+00 -5.39284086e+00 -1.03467679e+00 -2.51908302e+00
  3.92075276e+00 -5.44252217e-01  4.20226544e-01  1.21849608e+00
 -2.22456670e+00  5.79826176e-01 -1.10688710e+00 -1.42671800e+00
 -1.67343903e+00  2.94585133e+00  4.92511511e+00  2.34805369e+00
  6.73342407e-01  7.11906314e-01  4.97548506e-02 -1.35717475e+00
 -2.61128455e-01  2.74592012e-01 -6.16740763e-01  1.67034492e-01
  1.98570418e+00  1.03466082e+00 -3.09284687e+00 -1.25280178e+00
 -8.16946268e-01 -1.23825240e+00 -1.39865363e+00 -4.79036182e-01
  1.09514244e-01 -3.70118213e+00 -1.97827423e+00  2.45234177e-01
 -1.35803497e+00 -1.41692793e+00 -7.76139379e-01 -1.07045913e+00
 -1.10009372e+00 -1.14475214e+00  5.47744393e-01  6.65036142e-01
  3.33659112e-01  3.63423258e-01  5.24271190e-01  2.96362102e-01
  2.01564878e-01 -1.57427490e-01 -7.10370600e-01  6.68996453e-01
  5.49635231e-01  1.64189875e-01 -3.63251150e-01 -4.98823136e-01
 -2.84424603e-01 -4.03487831e-01 -2.67146796e-01  8.84427205e-02
 -1.25419319e-01 -6.76571906e-01 -1.03162028e-01  3.83407861e-01
 -7.82987893e-01 -5.37850820e-02 -2.29550730e-02 -6.77039564e-01
 -4.33760369e-03 -3.92339110e-01 -2.33468980e-01 -4.66326386e-01
 -4.54914182e-01 -3.16463172e-01 -1.98264301e-01 -1.53453901e-01
  1.18886918e-01 -2.73904920e-01 -4.02784675e-01  2.59358913e-01
 -1.85144823e-02 -5.47534108e-01 -2.68871516e-01 -3.09571833e-03]",2 (2).wav
5,"[-4.9405170e+02  1.5838496e+02  8.8629503e+00  3.6769825e+01
 -5.9192491e+00  1.4968577e+01 -1.7517693e+01 -2.6116166e+00
 -2.0449069e+00 -5.2691303e-02  4.8119116e+00  4.6310849e+00
  4.5151310e+00 -6.1861134e+00  3.3487182e+00 -3.5500678e-01
 -2.2696865e+00 -9.3043607e-01  2.7497506e+00 -4.3233695e+00
  1.1044539e+00  5.0401969e+00 -2.4011421e+00 -2.4565189e+00
 -5.0650973e+00 -1.7033112e+00 -2.1451807e+00 -4.7850618e+00
 -9.8980198e+00 -8.9865904e+00 -3.4796662e+00  1.0078337e+00
  3.1723073e+00 -5.5803013e+00 -5.8270354e+00 -1.4702659e+00
 -2.8816539e-01 -3.6083749e-01  6.0132515e-01  2.5630280e-01
 -9.3604773e-01 -7.2080225e-01 -3.0066500e+00  4.7541931e-01
 -2.0321688e-02 -3.2066333e+00 -2.7216957e+00 -1.1960052e+00
 -2.3650985e+00 -3.6787052e+00 -2.8551645e+00 -1.3242759e+00
 -2.4228048e+00 -5.5377278e+00 -1.1720237e+00 -1.3869395e+00
 -3.1972694e+00 -2.4480817e+00 -2.2103434e+00 -1.6074786e+00
 -2.0335867e+00 -1.6344782e+00 -2.5382657e+00 -2.5613508e+00
 -1.3131887e+00 -1.9825642e+00 -1.5300604e+00 -4.8140243e-01
 -3.2534549e+00 -3.0587082e+00 -1.8767731e+00 -2.0418062e+00
 -8.6304849e-01  1.4383224e+00  2.2725561e+00  2.3624480e+00
  5.4166975e+00  4.4759331e+00  3.3352611e+00  3.3112192e+00
  1.0070795e+00  1.8842665e+00  2.2078593e+00  1.4035214e+00
  1.9667072e+00  9.4398594e-01  2.6380578e-01  1.2852923e+00
  1.1113610e+00  5.4296708e-01  8.1373501e-01 -2.3089686e-01
  1.2305882e-01  1.2251145e+00 -2.5963029e-01 -5.8174592e-01
  6.2445366e-01 -1.8193455e-01 -5.7074368e-01  4.0070966e-01]",2.wav
6,"[-2.24546600e+02  1.22787277e+02 -2.13456173e+01  5.16928596e+01
 -2.91924648e+01  8.40697384e+00 -1.72775021e+01  7.05378008e+00
 -6.88483095e+00  5.50978756e+00 -2.75463724e+00  1.74591267e+00
 -3.92231941e+00 -5.98535442e+00  3.86611748e+00 -1.39567471e+01
  2.73574305e+00 -3.00296474e+00 -8.22431624e-01 -3.60903907e+00
 -2.47151208e+00 -4.22773886e+00 -4.21373701e+00 -2.11475158e+00
 -4.37794161e+00 -2.01163936e+00 -4.58856249e+00 -1.56154346e+00
 -2.38815355e+00 -2.96350336e+00 -3.22071028e+00 -1.89726734e+00
  2.30928734e-01  9.71400678e-01  3.76169825e+00  1.17692626e+00
  8.89448047e-01 -1.17441976e+00 -1.47966552e+00 -5.91734648e-01
 -7.64085233e-01  1.70735687e-01 -2.35891104e+00 -2.50744486e+00
 -3.90510559e+00 -1.81962335e+00 -2.18901634e+00 -9.02493000e-01
 -2.58063626e+00 -2.95660949e+00 -6.18243515e-01  1.62331790e-01
  5.41980028e-01 -1.29132080e+00 -3.18063438e-01 -1.94433463e+00
 -4.79102850e-01 -3.56405824e-01 -9.46460187e-01 -2.01127481e+00
 -6.38691545e-01 -4.35737133e-01 -1.87992752e+00 -9.71960187e-01
 -9.98800159e-01 -3.65429759e-01 -3.94790232e-01  5.65277040e-02
  1.21512651e+00  1.97703552e+00  1.20024249e-01 -4.51172203e-01
 -3.63273740e-01 -4.34714168e-01  1.99235901e-01  5.04092038e-01
  1.95800424e-01  4.16550577e-01 -3.18242848e-01 -7.37765729e-01
  4.72589314e-01  2.63221353e-01  1.67051002e-01  2.39627019e-01
  2.78406501e-01 -1.02308065e-01 -3.89437348e-01  4.91921544e-01
  3.86916041e-01 -4.67561513e-01 -1.09854028e-01  3.95273983e-01
  3.99746783e-02 -5.38845919e-02 -2.34779110e-03 -2.45522901e-01
 -4.26314086e-01 -4.24923420e-01 -1.48686320e-01 -5.19407451e-01]",3 (2).wav
7,"[-4.15098053e+02  1.59672516e+02 -4.62659111e+01  3.65777550e+01
 -2.03528728e+01  5.72675180e+00 -1.57608700e+01 -4.82173014e+00
 -2.54251575e+01  1.26711559e+00 -1.19683456e+01 -1.04766111e+01
 -2.90750074e+00 -1.52136898e+01 -7.43774772e-01 -4.78493023e+00
 -6.56846762e+00 -6.84694099e+00  2.09985152e-01 -1.14784040e+01
 -4.62478399e+00 -1.84399068e+00 -9.95081139e+00 -3.12347007e+00
 -1.83134568e+00 -6.88114786e+00 -3.03597808e+00 -3.34265900e+00
 -7.35621405e+00 -3.35597539e+00 -4.08951855e+00 -5.20399952e+00
 -4.40674686e+00 -4.22675610e+00 -4.44685364e+00 -5.68371010e+00
 -2.85809636e+00 -4.56017256e+00 -4.09478092e+00 -3.88950825e+00
 -4.77866364e+00 -2.97054768e+00 -3.50580978e+00 -1.67088664e+00
 -2.95507407e+00 -1.45107841e+00 -2.15857410e+00 -8.63464713e-01
  6.45555019e-01  1.45909142e+00  5.41816652e-01  4.52782996e-02
  1.78609812e+00  1.59162736e+00  3.25660539e+00  1.86893666e+00
  8.22855175e-01  4.36800778e-01  1.00552809e+00  5.27803481e-01
  6.88792169e-01  7.56137967e-01  6.54363453e-01  9.82013404e-01
  6.01818144e-01 -5.53253889e-01 -3.68241936e-01  2.28979155e-01
 -1.09436178e+00 -1.04614651e+00 -7.50162899e-01 -3.11821431e-01
 -7.10020363e-01 -8.40017736e-01  2.59355396e-01 -2.63904631e-02
 -1.47983670e+00 -9.00508225e-01  2.86869168e-01 -4.10964370e-01
 -8.13766241e-01 -2.27565482e-01 -2.41389319e-01 -4.53615397e-01
 -2.01319531e-01 -2.10606605e-01 -5.14341712e-01 -9.22188699e-01
 -8.00549328e-01 -1.93951368e-01 -4.65204388e-01  5.68888383e-03
 -2.03394353e-01 -6.06656492e-01  1.16629995e-01  3.96640860e-02
 -1.48505837e-01  1.12276010e-01  3.69326997e-04 -4.07051533e-01]",3.wav
8,"[-2.3115147e+02  1.4876379e+02 -5.2017677e+01  1.4419266e+01
 -2.6473732e+01 -2.3006794e+01 -2.6083952e+01 -2.1549561e+01
 -1.0816434e+01 -4.8367548e+00 -1.1010806e+01 -5.9143453e+00
 -2.9816415e+00 -9.4063687e-01 -3.0206401e+00 -1.9719343e+01
 -1.3559842e-01 -1.3724735e+01 -1.0507414e+01 -1.8067424e+00
 -8.2192545e+00 -3.1503150e+00 -6.8752050e+00 -3.1683807e+00
 -1.0632572e+01 -5.8762779e+00 -7.5974970e+00 -4.9860830e+00
 -1.3085086e+00 -2.9600096e+00  2.4382823e+00 -3.0801061e-01
  2.9408944e+00  4.9625134e-01  2.6941633e+00  2.2703187e+00
  3.5595644e+00  3.5793672e+00  9.7123367e-01  1.5928283e+00
 -2.1581962e+00 -3.6046332e-01 -3.7191343e+00 -2.2753041e+00
 -3.4440303e+00 -3.7174296e+00 -1.9356372e+00 -3.7800508e+00
 -2.2200787e+00 -3.3500943e+00 -2.1862276e+00 -3.3625343e+00
 -2.9068522e+00 -3.4242413e+00 -3.5794973e+00 -3.1131279e+00
 -1.8283179e+00 -3.0106661e-01 -2.7001109e+00 -1.1144742e+00
 -1.6356938e+00 -1.9448127e-01  1.7659031e-01 -1.2162019e+00
 -2.7277061e-01 -3.2466155e-01  1.7047188e-01 -1.0069426e+00
 -8.3151281e-01  1.5862030e-01  4.4629005e-01 -5.2497238e-01
 -3.7882617e-01  5.0615180e-01 -9.3903311e-02 -4.7358934e-02
  2.0569368e-01  4.1837564e-01  3.9914912e-01  9.7866327e-02
 -2.2089255e-01  4.3390226e-02 -3.7748152e-01 -4.7164237e-01
 -3.3716720e-01 -4.2830139e-01 -3.1969056e-01 -5.4383439e-01
 -3.1397912e-01 -2.6641861e-01 -3.2824731e-01 -4.3131775e-01
 -3.1937984e-01 -5.2626288e-01 -2.6752177e-01 -1.4797319e-01
 -4.9033478e-01 -4.7494233e-01 -7.4497271e-01 -4.6804622e-01]",4-_2_.wav
